MerchantID,Merchant Name,Category
314,"Oconnor, Gonzalez and Larson",Clothing
315,Garcia-Clark,Electronics
316,"White, Adams and Velasquez",Clothing
317,Solis-White,Electronics
318,"Thompson, Keller and Wilson",Electronics
319,Dudley and Sons,Electronics
320,Burns-Fernandez,Cosmetic
321,Wade-Brown,Travel
322,Miller-Villegas,Travel
323,"Hansen, Ortiz and Johnson",Market
324,Harris-Myers,Clothing
325,"Waters, Velasquez and Patterson",Electronics
326,"Ware, Lambert and Bernard",Travel
327,"York, Wong and Marshall",Restaurant
328,Lee-Greene,Travel
329,"Brown, Barry and Colon",Market
330,Bird-Hale,Electronics
331,Patton-Johnson,Cosmetic
332,Tucker PLC,Market
333,"Stout, Owen and Cortez",Electronics
334,"Andrews, Wright and Foley",Cosmetic
335,Jordan Ltd,Clothing
336,Norman LLC,Market
337,Willis-Sullivan,Market
338,"Rangel, Caldwell and Williamson",Clothing
339,Owens-Contreras,Clothing
340,"Romero, Mack and Smith",Market
341,"Hurley, Hughes and Brown",Market
342,"Mercado, Williams and Schmidt",Clothing
343,Ramirez-Sanchez,Market
344,Alvarado-Lane,Restaurant
345,"Paul, Arroyo and Garcia",Restaurant
346,"Griffith, Taylor and Joyce",Travel
347,Crosby-Miller,Clothing
348,"Chavez, Reyes and Robinson",Cosmetic
349,"Mayer, Parks and Reed",Electronics
350,Keith Ltd,Market
351,"Johnston, Wells and King",Clothing
352,Warren PLC,Clothing
353,Pena LLC,Market
354,Ryan and Sons,Market
355,Marshall PLC,Restaurant
356,Cuevas and Sons,Market
357,"Bowen, Murray and Moore",Clothing
358,"Murillo, Daniels and Hunter",Electronics
359,Whitaker PLC,Market
360,Carlson-Weiss,Restaurant
361,"Hill, Velasquez and Long",Clothing
362,"Martin, Rowe and Hill",Electronics
363,Alvarez-Wilson,Market
364,Smith-Briggs,Cosmetic
365,Parsons Inc,Restaurant
366,Matthews-Ross,Electronics
367,"Myers, Stone and Freeman",Market
368,Thomas-Sandoval,Restaurant
369,Jones-Pierce,Market
370,Grimes Group,Restaurant
371,"Lopez, Davis and Jones",Clothing
372,"Estrada, Fischer and Jones",Clothing
373,Walter and Sons,Travel
374,Simmons Ltd,Travel
375,"Moore, Ferguson and Case",Electronics
376,"Hendricks, Kelly and Love",Cosmetic
377,Mueller-Poole,Cosmetic
378,"Lara, Dixon and Payne",Travel
379,"Murphy, Cobb and Willis",Cosmetic
380,Page Ltd,Cosmetic
381,Mack Inc,Electronics
382,Hudson-Gonzales,Clothing
383,Stevenson LLC,Travel
384,"Trevino, Ward and Smith",Electronics
385,"Brown, Booker and Mccormick",Cosmetic
386,"Salas, Flowers and Mckinney",Restaurant
387,Sloan-Jenkins,Clothing
388,Clark Inc,Electronics
389,Mullins-Lambert,Clothing
390,Thomas-Wood,Restaurant
391,Ward-Morris,Electronics
392,Brooks LLC,Market
393,Wheeler PLC,Clothing
394,Oconnell LLC,Market
396,Jones-Herrera,Electronics
397,Adams and Sons,Electronics
398,"Elliott, Bates and Garcia",Travel
399,"Higgins, Hall and Davis",Market
400,Schultz-Ramirez,Cosmetic
401,"Williams, Wyatt and Cox",Cosmetic
402,"Campbell, Douglas and Taylor",Clothing
403,Johnson-Mora,Electronics
404,Gonzalez-Tran,Electronics
405,Mendez-Howell,Cosmetic
406,Miller-Lamb,Clothing
407,Medina PLC,Restaurant
408,Weaver-Hernandez,Restaurant
409,Garrett and Sons,Travel
410,Mullins PLC,Clothing
411,Andersen LLC,Electronics
412,"Oliver, Williams and Hill",Travel
413,Travis Group,Travel
414,Friedman Ltd,Electronics
415,Anderson-Short,Restaurant
416,"Smith, Bell and Erickson",Restaurant
417,"Mckee, Lawrence and Mann",Market
418,"Dixon, Martin and Martin",Travel
419,Romero-Moore,Restaurant
420,Robinson-Keller,Restaurant
421,"Wheeler, Thomas and Winters",Cosmetic
422,"Lynch, Hernandez and Berger",Electronics
423,Santos-Jones,Electronics
424,Buchanan-Walter,Electronics
425,Johnson-Williams,Electronics
426,"Gregory, Brown and Williams",Cosmetic
427,Jensen-Francis,Travel
428,Ortiz-Ellis,Cosmetic
429,Kramer PLC,Market
430,Roberts Inc,Cosmetic
431,"Macias, Edwards and Mcknight",Clothing
432,"Myers, Riggs and Miller",Market
433,Heath-Hensley,Electronics
434,Johnson PLC,Travel
435,Gonzalez Ltd,Market
436,"Miller, Mcfarland and Davis",Restaurant
437,"Berry, Russell and Todd",Clothing
438,"Porter, Parks and Welch",Cosmetic
439,"Lam, Long and Luna",Clothing
440,Williams-Gregory,Travel
441,Miller-Harvey,Travel
443,Cooper Group,Cosmetic
444,Stephens PLC,Electronics
445,Ward-Dixon,Travel
446,"Taylor, Davis and Martin",Electronics
447,"Young, Roberts and Bell",Restaurant
448,Tucker-Robinson,Travel
449,Luna-Ashley,Electronics
450,Smith PLC,Clothing
451,Hicks-Cunningham,Cosmetic
452,Warner-Mason,Restaurant
453,"Miller, Gomez and Harris",Electronics
454,"Lee, Jackson and Gonzalez",Electronics
455,Reed-Khan,Market
456,Bentley Inc,Clothing
457,Watson PLC,Market
458,"Murray, Mcintyre and Smith",Clothing
459,Gomez Ltd,Restaurant
460,Buckley Inc,Market
461,"Moore, Newton and Williams",Travel
462,"Butler, Evans and Sims",Clothing
463,Allen-Ward,Clothing
464,Hill-Ingram,Cosmetic
465,Strong-Douglas,Cosmetic
466,"Adams, Moyer and Foster",Market
467,"Pearson, Gay and Green",Cosmetic
468,Owens Inc,Cosmetic
469,Jefferson LLC,Restaurant
470,Payne LLC,Travel
471,"Prince, Nelson and Martin",Restaurant
472,Fox-Miranda,Restaurant
473,"Cohen, Mccoy and Williams",Electronics
474,Roman PLC,Travel
475,"Heath, Wolfe and Peters",Clothing
476,"Bauer, Cross and Bennett",Restaurant
477,Olson Group,Electronics
478,Marshall-Flores,Travel
479,Gregory-James,Restaurant
480,"Leonard, Moore and Dennis",Market
481,Howard-Moran,Travel
482,Lewis Group,Restaurant
483,Baldwin Ltd,Electronics
484,Schroeder Inc,Travel
485,Nelson LLC,Restaurant
486,Hobbs-Evans,Cosmetic
487,Maldonado LLC,Travel
488,Gardner-Sanchez,Clothing
489,"Hernandez, Shaw and Mcconnell",Market
490,"Carroll, Simon and Stewart",Restaurant
491,"Hall, Allen and Yang",Electronics
492,"Koch, Ross and Mcdonald",Clothing
493,Sutton-Wilkerson,Electronics
494,Moore-Guerra,Market
495,"Smith, Howell and Blair",Market
496,May-Harmon,Market
497,"Barry, Brown and Nelson",Clothing
498,Reynolds Inc,Restaurant
499,"Mendoza, Flores and Ochoa",Travel
500,Bates Ltd,Clothing
501,Davis-Scott,Market
503,Clark LLC,Travel
504,"Singleton, Rivera and Perez",Market
505,Martinez-York,Clothing
506,"Fry, Adams and Johnson",Restaurant
507,Stephens-Edwards,Travel
508,"Hinton, Ross and Smith",Travel
509,Sampson Inc,Clothing
510,"George, Saunders and Powers",Clothing
511,"Fernandez, Dean and Harris",Restaurant
512,Dixon and Sons,Cosmetic
513,Simpson Ltd,Clothing
514,Lewis-Nguyen,Cosmetic
515,Palmer and Sons,Electronics
516,Franco PLC,Cosmetic
517,Mcclain-Duncan,Clothing
518,Mack Group,Restaurant
519,"Henry, Lewis and Johnson",Electronics
520,Gonzalez-Hatfield,Market
521,Wilkins-Cooper,Clothing
522,Garza-Morales,Cosmetic
523,Levy Inc,Market
524,"Moore, Reyes and Craig",Electronics
525,Jackson Group,Electronics
526,Bradley LLC,Electronics
527,Hernandez-Sandoval,Electronics
528,Hunt-Daniel,Cosmetic
529,Baldwin-Thomas,Cosmetic
530,"Perez, Chapman and Reid",Cosmetic
531,"Salazar, Martinez and Murphy",Electronics
532,Carlson Inc,Travel
533,Ramos Ltd,Market
534,Willis PLC,Electronics
535,Jones-Harris,Market
536,Schwartz PLC,Clothing
537,Arroyo-Weaver,Cosmetic
538,"Benton, Wagner and Chandler",Travel
539,Joseph-Rodriguez,Cosmetic
540,Lewis-Wilson,Market
541,Rosales PLC,Market
542,Davis LLC,Market
543,Peterson-Fowler,Clothing
544,Schmidt and Sons,Restaurant
545,Gonzalez Inc,Restaurant
546,Berry Group,Travel
547,Foster Ltd,Travel
548,"Foster, Whitaker and Miller",Market
549,Moody-Salinas,Cosmetic
550,Cross Group,Clothing
551,Fowler-Calhoun,Electronics
552,"Cantrell, Juarez and King",Cosmetic
553,Green Ltd,Travel
554,Griffith-Brown,Electronics
556,Mcclain Group,Clothing
557,Thomas Inc,Cosmetic
558,"Arias, Thomas and White",Electronics
559,Taylor Inc,Electronics
560,Ali-Diaz,Clothing
561,"Carrillo, Murphy and Wilson",Travel
562,"Anderson, Malone and Bailey",Market
563,"Patton, Brown and Mckenzie",Electronics
564,"Ryan, Castillo and Russell",Restaurant
565,"Shields, Cox and Murray",Electronics
566,Wallace Inc,Electronics
567,Peterson-Wilson,Cosmetic
568,"Montes, Suarez and Williams",Travel
570,Frazier-Kelly,Restaurant
571,"Hughes, Martin and Garcia",Travel
572,Price-Johnson,Cosmetic
573,"Robinson, Blankenship and Pineda",Cosmetic
574,Johnson-Taylor,Clothing
575,Wells-James,Market
576,Gonzalez PLC,Restaurant
577,Barnes-Arias,Travel
578,"English, Bonilla and Gray",Restaurant
579,Miller-Haynes,Market
580,Porter-Villanueva,Cosmetic
582,"Gilbert, Mcguire and Henderson",Cosmetic
583,"Parker, Murray and Schwartz",Travel
584,Wolfe-Hopkins,Clothing
585,Gomez Group,Restaurant
588,Moyer and Sons,Cosmetic
589,Mcmahon LLC,Travel
590,Gentry and Sons,Restaurant
591,Porter Group,Restaurant
592,Henry Group,Cosmetic
593,Pugh-Smith,Clothing
594,Anderson-Vega,Travel
595,David-Smith,Clothing
596,Williams-Page,Market
597,Hall-Woods,Travel
598,Matthews-Fritz,Cosmetic
599,"Smith, Sexton and Quinn",Travel
600,"Green, Leach and Torres",Restaurant
601,Johnson-Newman,Cosmetic
602,Anderson-Pace,Electronics
603,Lee-Bolton,Clothing
604,"Boyer, Wilson and Morris",Cosmetic
605,"Huffman, Gomez and Burnett",Clothing
606,Collins-Bradley,Electronics
607,Wood-Rice,Travel
608,"Scott, Luna and Baker",Restaurant
609,Jacobson Group,Market
610,Scott Group,Cosmetic
611,Gilbert-Allen,Travel
612,Brown-Bush,Clothing
613,Dixon Ltd,Cosmetic
614,Thomas-Pham,Market
615,"Cooper, Brooks and Michael",Electronics
616,Yu-Owen,Market
617,Baldwin-Davis,Restaurant
618,Hall Inc,Clothing
619,"Gay, Reed and Martin",Travel
620,"Molina, Berry and Crawford",Electronics
621,Sherman and Sons,Clothing
622,"Brown, Robles and Edwards",Clothing
623,Mitchell-Levy,Cosmetic
624,Coffey-Le,Cosmetic
625,Moore-Dickson,Restaurant
626,Kelly Ltd,Travel
627,Pierce-Moore,Clothing
628,"King, Cuevas and Black",Clothing
629,Branch-Hunter,Travel
630,"Farmer, Daniels and Sanchez",Travel
631,"Malone, Miller and Chase",Travel
632,Hampton-Juarez,Travel
633,Hill Group,Travel
634,"Jennings, Carroll and Brown",Clothing
636,"Harding, Villarreal and Matthews",Restaurant
637,Jordan-Edwards,Travel
638,"Gonzalez, Griffith and Michael",Restaurant
639,Barnett Inc,Travel
640,Wells LLC,Electronics
641,Manning LLC,Travel
642,Price PLC,Cosmetic
643,"Vasquez, Hansen and Martinez",Clothing
644,Matthews-Medina,Electronics
645,"Carr, Shaw and Davis",Travel
646,Thompson-Reynolds,Market
647,Green-Poole,Market
648,Christian-Sullivan,Restaurant
649,Morgan LLC,Clothing
650,White Inc,Market
651,"Ingram, Estrada and Kennedy",Cosmetic
652,Oconnell Ltd,Cosmetic
653,Baird Group,Restaurant
654,"Buck, Wilson and Green",Electronics
655,"Hoffman, Gonzales and Pitts",Travel
656,Phillips-Garza,Cosmetic
657,Johnson-Smith,Restaurant
658,"Fox, Martinez and Schwartz",Travel
659,"Johnson, Trevino and Mcmahon",Restaurant
660,"Reeves, Gutierrez and Le",Restaurant
661,James PLC,Market
662,"Kennedy, Robinson and Reyes",Clothing
663,Miller-Schmidt,Electronics
664,Fowler-Pena,Electronics
665,Paul-Wilson,Market
666,Jennings-Black,Clothing
667,Phillips-Richardson,Restaurant
668,"Cruz, Sanchez and Gardner",Electronics
669,Thompson Inc,Electronics
670,Richardson Group,Restaurant
671,Adams PLC,Travel
672,Davidson-Warren,Travel
673,"Walters, Garcia and Martin",Restaurant
674,Williams Ltd,Clothing
675,"Hammond, Johnson and Donovan",Restaurant
676,Cook Ltd,Restaurant
677,"Bishop, Harrison and Brown",Cosmetic
678,"Beltran, Davis and Morales",Clothing
679,Carpenter-Cline,Travel
680,Wyatt Inc,Cosmetic
681,Moore-Delgado,Market
682,"Smith, Thomas and Miller",Cosmetic
683,"Wilson, Clark and Caldwell",Travel
684,Hernandez PLC,Market
685,Gray-Delgado,Restaurant
686,Gilmore-Frye,Travel
687,Salas-Nguyen,Travel
688,Dixon-Roberts,Market
690,"Wilcox, Mueller and Frazier",Travel
691,Garcia PLC,Travel
692,"Gonzalez, Gomez and Miller",Electronics
693,Kelly-Rodriguez,Market
694,Mercer and Sons,Restaurant
695,Gordon-Hughes,Clothing
696,Ballard-Joseph,Market
697,Cooper-Oneill,Market
698,Baldwin-Mitchell,Travel
699,Rocha LLC,Restaurant
700,Hawkins PLC,Travel
701,Carr LLC,Cosmetic
703,Butler Group,Electronics
704,"Owens, Terry and Martin",Travel
705,Miranda Inc,Restaurant
706,"Ortega, Jackson and Mcintyre",Electronics
707,White-Alvarado,Restaurant
708,Brewer and Sons,Cosmetic
709,Wilson-Martinez,Market
710,"Andrews, Chandler and Webb",Market
711,"Davis, Carroll and Gonzalez",Travel
712,Sanchez Inc,Market
713,Watkins Inc,Travel
714,"Perkins, White and Medina",Cosmetic
715,"Smith, Erickson and Payne",Clothing
716,Smith-Stokes,Travel
717,"Bowers, Mckinney and Estes",Cosmetic
718,Jackson Inc,Clothing
719,French Group,Restaurant
720,Freeman-Cox,Electronics
721,Wagner PLC,Travel
722,"Pugh, Newman and Daniels",Clothing
723,Mcdaniel-Long,Restaurant
724,"Thomas, Odom and Diaz",Clothing
725,Mason-Solis,Restaurant
726,Hickman-Williams,Restaurant
728,"Rasmussen, Hicks and Cooke",Restaurant
729,Coleman Group,Restaurant
730,Ramirez Group,Travel
731,"Baxter, Lamb and Duncan",Travel
732,Moore-Smith,Electronics
735,"Hunter, Riley and Tucker",Restaurant
736,"Miller, Arnold and Bailey",Clothing
737,Abbott-Bender,Clothing
738,Norman and Sons,Clothing
739,Short LLC,Cosmetic
740,"Hill, Smith and Calderon",Market
741,Lee and Sons,Electronics
742,"Carlson, Chan and Davis",Electronics
743,Long-Boyd,Restaurant
744,Brown PLC,Restaurant
745,Rodriguez-Walker,Restaurant
746,Hunter-Payne,Cosmetic
747,Davies-Anderson,Market
748,"Rangel, Lewis and Wolf",Cosmetic
749,Brown LLC,Restaurant
750,Lewis-Alexander,Cosmetic
751,May-Espinoza,Cosmetic
752,Bell Group,Restaurant
753,Hubbard-Richardson,Travel
754,"Preston, Watkins and Hawkins",Electronics
755,"Meyer, Miles and Schneider",Electronics
756,Mckay PLC,Restaurant
757,Cannon-Lewis,Travel
758,Morris-Branch,Restaurant
759,"Howard, Kirk and Frost",Market
760,Lewis-Thomas,Cosmetic
761,"Cobb, Hanna and Adams",Market
762,Parrish-Kelley,Clothing
763,"Jackson, Foster and Brown",Market
764,Cordova Inc,Market
765,Howell Group,Market
766,Franklin-Ortiz,Electronics
767,Gordon-Young,Market
768,"Martinez, Proctor and Flowers",Clothing
769,Oneill Inc,Travel
770,Santos Ltd,Travel
771,Stewart Group,Clothing
772,"Smith, Munoz and Underwood",Cosmetic
773,Ortega-Oliver,Travel
774,Hall LLC,Electronics
775,"Marsh, Mckay and Mendoza",Clothing
776,"Mendoza, Robinson and Park",Market
777,Lara-Mercado,Clothing
778,Vasquez-Barnes,Clothing
779,Harris and Sons,Electronics
780,Henderson LLC,Clothing
781,Pham-Hahn,Market
782,"Price, Davis and Sims",Restaurant
783,Soto Inc,Restaurant
784,Wilson LLC,Cosmetic
785,"Richardson, Mitchell and Hamilton",Travel
786,"Nunez, Ballard and Smith",Travel
787,Smith-Payne,Market
788,Schneider LLC,Electronics
789,Ramos LLC,Electronics
790,Wilson Inc,Travel
791,"James, Johnston and Sanders",Restaurant
792,Fuller LLC,Restaurant
793,Adams-Walker,Cosmetic
794,Walter-Hamilton,Travel
795,"Grant, Maldonado and Brown",Restaurant
796,Paul-Lewis,Market
797,"Pruitt, Rogers and Hunter",Travel
798,"Reynolds, Morris and Murray",Clothing
799,"Taylor, Mueller and Jones",Cosmetic
800,Burnett Ltd,Market
801,Joseph-Cameron,Market
802,Robertson and Sons,Restaurant
803,Reed-Brooks,Travel
804,Meyer-Ruiz,Electronics
805,Frazier PLC,Travel
806,Dickerson Group,Travel
